Nome,Tipo,Grandezza,Dec
DB_APDATA,Data,8,0
DB_APOREIN,Numerico,5,2
DB_APOREOU,Numerico,5,2
DB_APSTUDI,Numerico,2,0
DB_APMEDIC,Numerico,2,0
DB_APPACOD,Caratteri,6,0
DB_APDESCR,Caratteri,45,0
DB_NOTE,Memo,4,0
DB_GUARDIA,Caratteri,1,0
DB_APPRIOR,Numerico,1,0
DB_APOPZIO,Caratteri,8,0
DB_APRITAR,Caratteri,1,0
DB_APASSIS,Numerico,2,0
DB_APDATAI,Data,8,0
DB_APRICHI,Numerico,2,0
DB_APPLCOD,Caratteri,9,0
DB_DATATIM,DataOra,8,0
DB_XXCODE,Caratteri,9,0
DB_APANAID,Caratteri,6,0
DB_APOREAR,Numerico,5,2
DB_APOREPO,Numerico,5,2
DB_APOREUS,Numerico,5,2
