Nome,Tipo,Grandezza,Dec
DB_CODE,Caratteri,6,0
DB_FAPACOD,Caratteri,6,0
DB_FANUMER,Numerico,6,0
DB_FADATA,Data,8,0
DB_FABANCA,Caratteri,45,0
DB_FAPAGAM,Caratteri,40,0
DB_FAESIVA,Numerico,2,0
DB_FAIMPON,Numerico,14,2
DB_FAIVA,Numerico,14,2
DB_FASCONT,Numerico,2,0
DB_FAARROT,Numerico,1,0
DB_GUARDIA,Caratteri,1,0
DB_FARITEN,Caratteri,1,0
DB_FASUFFI,Caratteri,16,0
DB_FANOME,Caratteri,45,0
DB_FACODFI,Caratteri,16,0
DB_FAINDIR,Caratteri,40,0
DB_FACITTA,Caratteri,40,0
DB_FACAP,Caratteri,5,0
DB_FAPROVI,Caratteri,2,0
DB_FAPARZI,Caratteri,1,0
DB_FAELCOD,Caratteri,6,0
DB_FASOCOD,Caratteri,6,0
DB_FAPIVA,Caratteri,25,0
DB_FAPREVI,Numerico,5,2
DB_FABIS,Caratteri,3,0
DB_FAIMPOR,Numerico,14,2
DB_FA730RM,Numerico,14,2
DB_FA730SR,Numerico,14,2
DB_FA730IC,Numerico,14,2
DB_FA730FC,Numerico,14,2
DB_FA730AA,Numerico,14,2
DB_FA730AS,Numerico,14,2
DB_FA730AD,Numerico,14,2
DB_FA730CT,Numerico,14,2
DB_FA730PI,Numerico,14,2
DB_FA730TK,Numerico,14,2
DB_FA730NO,Caratteri,1,0
DB_FA730ST,Numerico,2,0
DB_FA730IN,Numerico,1,0
DB_FA730PR,Caratteri,17,0
DB_FARDATA,Data,8,0
DB_FARNUME,Numerico,6,0
DB_FARBIS,Caratteri,3,0
DB_FADATAT,Data,8,0
DB_FADATAS,Data,8,0
DB_FAINOUT,Caratteri,1,0
DB_FAINCAS,Numerico,14,2
DB_FAINCAT,Numerico,14,2
DB_FAGESTI,Caratteri,1,0
DB_FAARIVA,Numerico,5,2
DB_OLDATAT,Data,8,0
DB_OLINCAT,Numerico,14,2
DB_OLINOUT,Caratteri,1,0
DB_OL730PR,Caratteri,17,0
DB_OL730IN,Numerico,1,0
DB_OL730ST,Numerico,2,0
DB_FA730TS,Caratteri,4,0
DB_FAELTIP,Numerico,1,0
DB_FA000PA,Caratteri,20,0
DB_FA001PA,Data,8,0
DB_FA002PA,Caratteri,15,0
DB_FA003PA,Caratteri,15,0
DB_FANAZIO,Caratteri,2,0
DB_FAPRTIP,Numerico,2,0
DB_FAIVCOD,Caratteri,10,0
DB_FAARTIC,Caratteri,100,0
DB_FAESTIP,Numerico,1,0
DB_FASPLIT,Caratteri,1,0
DB_FASTAFE,Caratteri,1,0
DB_FAABBUO,Numerico,14,2
DB_FAXMLFE,Caratteri,1,0
DB_FAPROFE,Caratteri,5,0
DB_FATRAFE,Data,8,0
DB_FADATFE,Data,8,0
DB_FAAVVFE,Caratteri,1,0
DB_FATIPRA,Numerico,2,0
DB_FAFATPA,Caratteri,1,0
DB_FA000FE,Caratteri,7,0
DB_FAPEC,Caratteri,80,0
DB_FAIDSDI,Numerico,10,0
DB_FABOLCA,Caratteri,1,0
DB_FAFORFE,Caratteri,1,0
DB_FAALLEG,Caratteri,1,0
DB_FAERRFE,Caratteri,1,0
DB_FAPARCE,Caratteri,1,0
DB_FAFORAC,Caratteri,1,0
DB_FAFIX01,Caratteri,1,0
DB_FAALIRI,Numerico,1,0
DB_FA730SP,Numerico,14,2
DB_FA730SV,Numerico,14,2
DB_FA730FV,Numerico,14,2
DB_FAESTSO,Numerico,1,0
DB_FATIPR1,Numerico,1,0
DB_FAABBNA,Caratteri,1,0
DB_FATIPFA,Numerico,2,0
DB_FAACSBO,Caratteri,1,0
DB_FANOTRA,Caratteri,1,0
DB_FANOTRT,Caratteri,1,0
DB_FA730BO,Caratteri,1,0
DB_OL730BO,Caratteri,1,0
DB_FA730NT,Caratteri,1,0
DB_FA730VE,Data,8,0
DB_FA004PA,Caratteri,20,0
DB_FA005PA,Caratteri,20,0
DB_FABOCOD,Caratteri,10,0
DB_FANETPA,Numerico,14,2
DB_FATRASM,Numerico,1,0
