Nome,Tipo,Grandezza,Dec
DB_CODE,Caratteri,6,0
DB_PANOME,Caratteri,45,0
DB_PACODFI,Caratteri,16,0
DB_PASUFFI,Caratteri,16,0
DB_PAINDIR,Caratteri,40,0
DB_PACITTA,Caratteri,40,0
DB_PACAP,Caratteri,5,0
DB_PAPROVI,Caratteri,2,0
DB_PATELEF,Caratteri,15,0
DB_PACELLU,Caratteri,15,0
DB_PADOCUM,Caratteri,25,0
DB_PASESSO,Caratteri,1,0
DB_PADANAS,Data,8,0
DB_PALUNAS,Caratteri,25,0
DB_PAPRNAS,Caratteri,2,0
DB_PAPROFE,Caratteri,35,0
DB_PAULTEL,Caratteri,15,0
DB_PAMEDIC,Caratteri,35,0
DB_PAMETEL,Caratteri,15,0
DB_PAULTVI,Data,8,0
DB_PACOLOR,Caratteri,25,0
DB_PAPESO,Numerico,3,0
DB_PAALTEZ,Numerico,4,2
DB_NOTE,Memo,4,0
DB_PAFARMA,Caratteri,25,0
DB_PAFARM2,Caratteri,25,0
DB_PAFARM3,Caratteri,25,0
DB_PAMOTIV,Caratteri,25,0
DB_PAMOTI2,Caratteri,25,0
DB_PAMOTI3,Caratteri,25,0
DB_PARISCH,Caratteri,1,0
DB_PARICHI,Caratteri,1,0
DB_PACOSTO,Caratteri,1,0
DB_PALIST,Numerico,1,0
DB_PADENTA,Caratteri,32,0
DB_PAMALA,Caratteri,54,0
DB_PAMEDI,Caratteri,48,0
DB_PAIGENE,Caratteri,3,0
DB_PAFOTO,Caratteri,1,0
DB_PARITAR,Numerico,2,0
DB_PARIMOT,Caratteri,2,0
DB_PAMODA1,Data,8,0
DB_PAMODA2,Data,8,0
DB_PADEPRE,Caratteri,35,0
DB_PADEUVI,Data,8,0
DB_GUARDIA,Caratteri,1,0
DB_PAVECI,Caratteri,45,0
DB_PAANRIS,Caratteri,1,0
DB_PAANNOT,Memo,4,0
DB_PAVISO,Caratteri,2,0
DB_PALAST,Data,8,0
DB_PACONSE,Data,8,0
DB_PANONCU,Caratteri,1,0
DB_PAEMAIL,Caratteri,40,0
DB_PANUCLE,Caratteri,6,0
DB_PALUNE1,Numerico,5,2
DB_PALUNE2,Numerico,5,2
DB_PAMART1,Numerico,5,2
DB_PAMART2,Numerico,5,2
DB_PAMERC1,Numerico,5,2
DB_PAMERC2,Numerico,5,2
DB_PAGIOV1,Numerico,5,2
DB_PAGIOV2,Numerico,5,2
DB_PAVENE1,Numerico,5,2
DB_PAVENE2,Numerico,5,2
DB_PASABA1,Numerico,5,2
DB_PASABA2,Numerico,5,2
DB_PAUTENT,Numerico,4,0
DB_PAREGIO,Caratteri,20,0
DB_PABARRE,Caratteri,8,0
DB_PAVECI1,Caratteri,40,0
DB_PAVECI2,Caratteri,40,0
DB_PAVECI3,Caratteri,5,0
DB_PAVECI4,Caratteri,2,0
DB_PAVECI5,Caratteri,16,0
DB_PADETEL,Caratteri,15,0
DB_PADATAI,Data,8,0
DB_PADATAR,Data,8,0
DB_PAESTER,Numerico,2,0
DB_PAULTE1,Caratteri,15,0
DB_PAULTE2,Caratteri,15,0
DB_PAULTE3,Caratteri,15,0
DB_PARITA2,Numerico,2,0
DB_PARIFAT,Caratteri,2,0
DB_PATEMPO,Numerico,5,2
DB_PAOPZAG,Caratteri,4,0
DB_PAMESSA,Memo,4,0
DB_PAANAM1,Memo,4,0
DB_PAANAM2,Memo,4,0
DB_PAANAM3,Memo,4,0
DB_PAANAM4,Memo,4,0
DB_PAACCO,Data,8,0
DB_PAANAM5,Memo,4,0
DB_PAASSIC,Numerico,2,0
DB_PADARIC,Caratteri,1,0
DB_PAPIVA,Caratteri,25,0
DB_PAVECI6,Caratteri,25,0
DB_PAINSO1,Data,8,0
DB_PAINSO2,Data,8,0
DB_PAINSO3,Data,8,0
DB_PAINSO4,Data,8,0
DB_PARICNO,Memo,4,0
DB_PARICN2,Memo,4,0
DB_PAANAMR,Memo,4,0
DB_PADCONS,Data,8,0
DB_PADANAM,Data,8,0
DB_PAOLDAN,Memo,4,0
DB_PA730NO,Caratteri,1,0
DB_PASIFIR,Caratteri,1,0
DB_PARINOI,Numerico,1,0
DB_PADAENF,Caratteri,1,0
DB_PAFIDAT,Caratteri,1,0
DB_PAFIDIN,Data,8,0
DB_PAFIDOM,Numerico,10,2
DB_PAFIDIS,Numerico,10,2
DB_PAFATPA,Caratteri,1,0
DB_PA679PR,Caratteri,1,0
DB_PA679DA,Data,8,0
DB_PA679MA,Caratteri,1,0
DB_PA679CO,Caratteri,5,0
DB_PAPRECO,Caratteri,2,0
DB_PAVECI7,Caratteri,16,0
DB_PAVECIP,Caratteri,1,0
DB_PA679PP,Caratteri,5,0
DB_PA000PA,Caratteri,20,0
DB_PA001PA,Data,8,0
DB_PA002PA,Caratteri,15,0
DB_PA003PA,Caratteri,15,0
DB_PA000FE,Caratteri,7,0
DB_PANAZIO,Caratteri,2,0
DB_PAVECI8,Caratteri,2,0
DB_PAPEC,Caratteri,80,0
DB_PASPLIT,Caratteri,1,0
DB_PAASSTI,Caratteri,1,0
DB_PANUCLO,Caratteri,3,0
DB_PADAVPR,Caratteri,1,0
DB_PAANOUT,Caratteri,10,0
DB_PACOVIQ,Caratteri,18,0
DB_PACOVID,Data,8,0
DB_PAANAID,Caratteri,10,0
DB_PACOVIT,Data,8,0
DB_PAANATI,Numerico,3,0
DB_PA004PA,Caratteri,20,0
DB_PA005PA,Caratteri,20,0
