Nome,Tipo,Grandezza,Dec
DB_PRELCOD,Caratteri,6,0
DB_PRONCOD,Caratteri,6,0
DB_PRDATA,Data,8,0
DB_PRLAVOR,Caratteri,5,0
DB_PRSPESA,Numerico,11,2
DB_PRDENTE,Caratteri,1,0
DB_PRMEDIC,Numerico,4,0
DB_PRONLYD,Caratteri,1,0
DB_GUARDIA,Numerico,1,0
DB_PRSETTO,Caratteri,1,0
DB_PRFACOD,Caratteri,6,0
DB_PRANCOD,Caratteri,6,0
DB_PRSPEAS,Numerico,11,2
DB_PRADIAC,Caratteri,1,0
DB_PRSPELI,Numerico,11,2
DB_XXCODE,Caratteri,9,0
DB_PRCOSLI,Numerico,11,2
DB_PRCOSLA,Numerico,11,2
DB_PRDURAT,Numerico,5,2
DB_PRRXESP,Numerico,5,2
DB_PRRXINT,Numerico,7,2
DB_PRRXTEN,Numerico,7,2
DB_PRRXRAD,Numerico,8,2
DB_PRPRCOD,Caratteri,6,0
DB_PRPRIDE,Caratteri,4,0
DB_PRCOMPR,Caratteri,1,0
DB_PRCOSCO,Numerico,11,2
DB_PRCOSPR,Numerico,11,2
DB_PRAPXXC,Caratteri,9,0
DB_PRPLXXC,Caratteri,9,0
